id,aqi,idx,city_name,dominentpol,co,h,no2,o3,p,pm10,pm25,so2,t,w,time
1,22,6283,"Melbourne, Brevard, Florida, USA",pm25,NULL,76.8,NULL,13.9,1013.4,13,22,NULL,26.5,3,2024-11-12T16:00:00-06:00
3,26,3574,"Worcester Summer St",o3,3.4,59.8,3.8,26.4,1021.2,5,9,0.2,3.8,6,2024-11-12T17:00:00-05:00
4,20,5883,Boston,o3,2.3,57.6,8.4,20,1021.3,5,8,0.8,5.5,4.6,2024-11-12T17:00:00-05:00
5,39,7397,"Chi_sp, Illinois, USA",pm25,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,-17.7,NULL,2024-11-08T10:00:00-06:00
6,24,3309,"New York",pm25,NULL,49.1,NULL,NULL,1025.4,NULL,24,NULL,7.5,9.1,2024-11-12T20:00:00-05:00
7,25,5883,Boston,o3,2.3,50.6,8.4,24.8,1024.7,3,9,0.5,4,4.6,2024-11-12T21:00:00-05:00
8,22,6298,"Miami Fire Station - Station #5, Miami-Dade, Florida, USA",pm25,1,69,NULL,13,1014.8,15,22,0.5,27,3,2024-11-12T22:00:00-06:00
9,15,5336,"Aurora Hills Visitor Center, Northern Virginia, USA",pm25,0.1,39,3.7,9.8,1032.5,8,15,0.4,10,3.6,2024-11-13T12:00:00-05:00
10,69,13204,"Lado Asatiani street, Kutaisi, Georgia",pm25,4.1,75,3.4,8.8,1018,37,69,NULL,8,1.8,2024-11-15T07:00:00+04:00
11,57,7450,"Erie, Ohio, USA",pm25,NULL,87,NULL,NULL,1012.1,20,57,NULL,11,2.2,2024-11-14T23:00:00-05:00
